Name,Average Distance Centrality,Closeness Centrality,Decay Centrality,Diffusion Degree Centrality,Geodestic K Path Centrality,Laplacian Centrality,Leverage Centrality,Lin Centrality,Eigenvector Centrality,Subgraph Centrality,Betweenness Centrality,Degree Centrality,Cluster,PC1,PC2
K1,2.5294117647058822,0.386046511627907,16.3125,49,78,0.018315018315017986,-0.6661654135338346,32.04186046511628,0.06525404538913158,44.40468179401184,0.0005378880107061124,0.03614457831325302,0,-1.830252041046869,0.89258492949913
ORF10,1.9764705882352942,0.49404761904761907,23.8125,155,82,0.10989010989011007,0.44648038856430017,41.00595238095238,0.23168494067061227,516.0102130807325,0.1020162462689474,0.21686746987951808,2,7.422202791264538,-1.9234935121815322
ORF33,2.0588235294117645,0.4742857142857143,22.125,123,83,0.06556776556776592,0.19903491860013597,39.36571428571428,0.17091289211268607,288.1765147480813,0.046207108048169354,0.14457831325301207,1,4.2802660833295105,0.05022623923779024
ORF46,2.1058823529411765,0.46368715083798884,21.9375,140,82,0.07582417582417567,0.3528322415085102,38.486033519553075,0.1932955722091666,382.63290345996245,0.05607200407448781,0.1927710843373494,2,5.122695833137347,-0.9041835187724054
K10.1,2.1058823529411765,0.46368715083798884,21.4375,113,82,0.05714285714285699,0.07691215217531007,38.486033519553075,0.1448904589186708,208.60097278961214,0.037486538936470665,0.12048192771084337,1,3.226274323990045,0.39130555184316035
ORF18,2.0588235294117645,0.4742857142857143,22.5,131,83,0.08498168498168517,0.35687964332608907,39.36571428571428,0.1813202304555256,330.2639971441929,0.07080422495920934,0.18072289156626506,2,5.318514736209909,-0.7821614811777119
ORF20,2.3294117647058825,0.41919191919191917,18.625,76,81,0.03186813186813137,-0.3045390883626178,34.792929292929294,0.10280059001674945,106.03568197520875,0.006968827093716896,0.07228915662650603,1,0.2979663232293083,0.953110307844935
ORF32,2.223529411764706,0.43915343915343913,20.125,97,81,0.047985347985347496,0.019172396803975762,36.44973544973545,0.1267764160868367,162.49247144150834,0.03111278172984107,0.10843373493975904,1,2.080790329880106,0.34451118464858116
ORF42,2.3294117647058825,0.41919191919191917,18.875,73,83,0.039926739926739764,0.14758554139359092,34.792929292929294,0.08900480495547687,88.24206675773532,0.033266273739180896,0.10843373493975904,1,1.182730294948458,0.401053640149868
ORF47,2.411764705882353,0.40487804878048783,17.9375,65,78,0.027838827838827677,-0.11477680026067123,33.604878048780485,0.0856825872987024,77.80159197053075,0.007386325869686939,0.07228915662650603,0,-0.1990963361805943,0.580427598477041
